 eventID,datetime,latitude,longitude,magnitude,mag_type,depth,phasecount,azimuth_gap,location,kategori_magnitude,mag_type_encoded,location_encoded
bmg2025qdei,2025-08-18 10:10:31.410690+00:00,1.0553040504455566,125.57709503173828,4.061781196798552,MLv,38,45.0,94.38630676269533,Northern Molucca Sea,Sedang,2,17
bmg2025qdee,2025-08-18 10:05:20.134109+00:00,1.0526164770126345,125.5694351196289,5.233659595912924,MLv,41,62.0,57.19987487792969,Northern Molucca Sea,Kuat,2,17
bmg2025qdcz,2025-08-18 09:29:32.192253+00:00,-5.477523326873779,104.57948303222656,1.2552124115963863,MLv,10,10.0,124.81232452392578,"Southern Sumatra, Indonesia",Ringan,2,27
bmg2025qdcl,2025-08-18 09:12:57.189824+00:00,-1.3635014295578003,120.59420013427734,2.795135343068195,MLv,10,27.0,92.45103454589844,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qdcg,2025-08-18 09:07:13.738270+00:00,-6.483116626739502,105.84225463867188,2.481859528376189,MLv,10,11.0,100.03643035888672,"Sunda Strait, Indonesia",Ringan,2,33
bmg2025qdcc,2025-08-18 09:02:30.873545+00:00,-6.467580318450928,105.81439971923828,3.006116084962889,MLv,10,19.0,94.47779846191406,"Sunda Strait, Indonesia",Sedang,2,33
bmg2025qdbs,2025-08-18 08:50:18.706037+00:00,-7.982837200164795,114.20825958251952,3.1271700193281164,MLv,10,29.0,62.51908874511719,Bali Sea,Sedang,2,2
bmg2025qdbo,2025-08-18 08:46:13.163220+00:00,-7.979250431060791,114.20145416259766,2.5704590287236724,MLv,10,21.0,88.36702060699463,Bali Sea,Ringan,2,2
bmg2025qdbd,2025-08-18 08:32:18.171616+00:00,1.3216290473937988,127.92292022705078,3.64195626865288,MLv,38,15.0,159.43167304992676,"Halmahera, Indonesia",Sedang,2,10
bmg2025qdbc,2025-08-18 08:31:53.955547+00:00,-1.3802539110183716,120.5993423461914,2.502659018757442,MLv,12,18.0,91.4657211303711,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qczh,2025-08-18 07:36:49.789807+00:00,-8.331382751464844,117.81683349609376,3.7785572430166106,MLv,10,43.0,174.4858627319336,"Sumbawa Region, Indonesia",Sedang,2,32
bmg2025qczg,2025-08-18 07:36:33.603405+00:00,-6.421694278717041,103.72581481933594,3.409706575852112,MLv,25,26.0,241.83260345458984,"Southwest of Sumatra, Indonesia",Sedang,2,28
bmg2025qcyw,2025-08-18 07:25:04.178113+00:00,-7.992114067077637,114.19542694091795,3.230078210552524,MLv,10,42.0,53.88451385498047,Bali Sea,Sedang,2,2
bmg2025qcym,2025-08-18 07:12:25.308300+00:00,0.5479876399040222,99.6009750366211,2.3590210114688945,MLv,10,14.0,178.21853637695312,"Northern Sumatra, Indonesia",Ringan,2,18
bmg2025qcxp,2025-08-18 06:46:22.106744+00:00,-7.940431594848633,117.67565155029295,2.7522445579644685,MLv,12,31.0,209.52276611328125,Bali Sea,Ringan,2,2
bmg2025qcxo,2025-08-18 06:44:51.136544+00:00,-1.355257511138916,120.60611724853516,1.7364568980285753,MLv,19,9.0,95.4271240234375,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qcxa,2025-08-18 06:27:59.445364+00:00,-4.133425712585449,122.40172576904295,2.179003042286066,MLv,9,10.0,247.5377655029297,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qcwm,2025-08-18 06:12:16.094606+00:00,-1.358368754386902,120.6280975341797,3.0690651099527426,MLv,5,38.0,49.54054355621338,"Sulawesi, Indonesia",Sedang,2,29
bmg2025qcwg,2025-08-18 06:05:05.422588+00:00,-9.32357406616211,114.12335205078124,3.078595834250885,MLv,10,26.0,222.2636947631836,"South of Bali, Indonesia",Sedang,2,23
bmg2025qcwc,2025-08-18 06:00:38.341574+00:00,-1.3540116548538208,120.61815643310548,2.0474100573130087,MLv,7,15.0,96.97840881347656,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qctj,2025-08-18 04:37:19.928847+00:00,-7.875911712646484,117.37246704101562,2.648950798843609,MLv,14,22.0,227.6184387207031,Bali Sea,Ringan,2,2
bmg2025qcqv,2025-08-18 03:21:00.717739+00:00,-2.9054434299468994,127.87003326416016,3.004480444945996,MLv,30,20.0,104.01251220703124,Ceram Sea,Sedang,2,7
bmg2025qcqo,2025-08-18 03:13:15.878546+00:00,-0.7396687865257263,123.8536148071289,3.0397536821575626,MLv,31,28.0,173.38364028930664,"Minahassa Peninsula, Sulawesi",Sedang,2,13
bmg2025qcql,2025-08-18 03:09:24.656107+00:00,-7.990874290466309,114.1938018798828,2.948559577711092,MLv,10,30.0,86.18371105194092,Bali Sea,Ringan,2,2
bmg2025qcpz,2025-08-18 02:54:58.727227+00:00,-7.971817016601562,114.1497573852539,2.744788712520778,MLv,8,30.0,93.30015563964844,Bali Sea,Ringan,2,2
bmg2025qcpd,2025-08-18 02:30:05.438241+00:00,1.1415685415267944,121.15995025634766,3.010876269526914,MLv,40,23.0,181.1689910888672,"Minahassa Peninsula, Sulawesi",Sedang,2,13
bmg2025qcpa,2025-08-18 02:26:34.117945+00:00,-0.708774745464325,123.52759552001952,3.5985505840505105,MLv,5,27.0,145.28269958496094,"Minahassa Peninsula, Sulawesi",Sedang,2,13
bmg2025qcms,2025-08-18 01:15:53.218177+00:00,-2.010986804962158,120.6825180053711,2.534450366745835,MLv,5,15.0,88.46732330322266,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qcmb,2025-08-18 00:56:15.896015+00:00,-1.367835521697998,120.55765533447266,2.7006610531007404,MLv,10,21.0,68.66920471191406,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qcli,2025-08-18 00:34:07.144074+00:00,-7.996618747711182,114.19275665283205,2.864601394838842,MLv,10,22.0,85.94150066375732,Bali Sea,Ringan,2,2
bmg2025qclh,2025-08-18 00:33:13.159804+00:00,-4.096206188201904,121.9534454345703,2.806571870522573,MLv,10,11.0,102.39710807800292,"Sulawesi, Indonesia",Ringan,2,29
