No,Nama Perusahaan,Kode Saham,Kode Subindustri,Sektor,Subsektor,Industri,Subindustri,Index,PER,PBV,ROE %,ROA %,DER,Mkt Cap,Total Rev,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,NPM %,MTD,YTD
389,Hartadinata Abadi Tbk,HRTA,E411,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,"Clothing, Accessories & Bags","COMPOSITE, I-GRADE, IDXCYCLIC, IDXSMC-COM, MBX",9.62,2.43,25.30,8.76,1.89,6884867288000,25193124000784,2.11,76.36,130.95,299.73,2.84,-7.62,343.60
390,Harum Energy Tbk,HRUM,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, IDX80, IDXENERGY, IDXSMC-COM, IDXSMC-LIQ, IDXV30, ISSI, JII70, KOMPAS100, MBX",31.06,0.45,1.44,0.80,0.80,13585690500000,17089547672028,-4.37,-10.86,12.57,-13.22,2.56,-5.74,-7.08
391,PT Humpuss Maritim Internasional Tbk,HUMI,A112,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Storage & Distribution,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM, ISSI",14.68,0.91,6.22,3.39,0.83,2688944760519,1610471434728,74.05,54.05,338.46,338.46,11.37,31.79,356.00
392,PT Ecocare Indo Pasifik Tbk.,HYGN,C222,Industrials,Industrial Services,Commercial Services,Environmental & Facilities Services,"COMPOSITE, DBX, IDXINDUST, ISSI",21.63,2.54,11.74,8.63,0.36,409050000000,263980203860,-3.03,-1.23,10.34,16.79,7.16,-0.62,5.96
393,MNC Energy Investments Tbk,IATA,K111,Transportation & Logistic,Transportation,Airlines,Airlines,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM, ISSI",97.28,1.53,1.58,0.90,0.76,3471617127891,1041435379296,34.62,50.00,114.29,105.88,3.43,-6.25,110.00
394,Intan Baruprana Finance Tbk,IBFN,G211,Financials,Financing Service,Consumer Financing,Consumer Financing,"COMPOSITE, IDXINDUST",-3.23,-0.23,,-10.80,-1.66,174493220135,143787706834,162.50,306.45,869.23,740.00,-37.59,9.57,869.23
395,PT Indo Boga Sukses Tbk,IBOS,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,ABX,-844.28,1.57,-0.19,-0.17,0.09,540407898443,24892705736,40.74,76.74,171.43,94.87,-2.57,13.43,111.11
396,Inti Bangun Sejahtera Tbk,IBST,J321,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,"COMPOSITE, IDXINFRA, IDXSMC-COM, ISSI",17.77,2.88,16.23,9.33,0.74,7024705620400,630970000000,-9.06,-13.15,-3.60,-4.55,62.65,0.84,-4.08
397,Indofood CBP Sukses Makmur Tbk,ICBP,D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX30, IDX80, IDXG30, IDXLQ45LCL, IDXNONCYC, IDXSHAGROW, IDXVESTA28, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, MNC36, SRI-KEHATI",16.32,1.38,8.46,4.56,0.86,98543122600000,56266782000000,-5.31,-13.71,-24.82,-30.82,10.73,-4.46,-28.51
398,Island Concepts Indonesia Tbk,ICON,C224,Industrials,Industrial Services,Commercial Services,Business Support Services,"COMPOSITE, IDXINDUST, ISSI",-17.26,0.37,-2.16,-1.30,0.66,81731250000,169436600398,60.42,67.39,97.44,133.33,-2.79,2.67,102.63
399,Idea Indonesia Akademi Tbk,IDEA,E521,Consumer Cyclicals,Consumer Services,Education & Support Services,Education Services,ABX,46.34,1.42,3.07,2.54,0.21,90307187500,12799249315,41.54,-2.13,91.67,170.59,15.23,15.00,162.86
400,PT Indonesia Pondasi Raya Tbk.,IDPR,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, DBX, IDXINFRA, ISSI",24.26,0.85,3.52,1.46,1.41,572858000000,885482396314,-8.23,15.08,49.48,58.47,2.67,2.11,79.01
401,Indonesia Fibreboard Industry Tbk,IFII,B151,Basic Materials,Basic Materials,Forestry & Paper,Timber,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",9.92,1.57,15.80,12.49,0.27,2127112000000,1015622988328,-5.08,-6.67,-15.15,5.66,21.11,-0.88,10.89
402,Ifishdeco Tbk,IFSH,B146,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",27.72,2.04,7.36,6.20,0.19,1721250000000,668815912152,-1.25,-1.25,-3.07,-3.66,9.28,-1.25,-4.82
